data;

set Np := 1 2 3 4 5;

set Ep_u := (1,2) (1,5) (2,3) (3,4) (4,5);

set R := (1,2) (2,3) (3,4) (4,5) (1,5) (1,4) (1,3) (3,5);

# Traffic demand of each request
param r :=
1 2 11.95
2 3 11.95
3 4 11.95
4 5 11.95
1 5 11.95
1 4 11.95
1 3 11.95
3 5 11.95
;

set Nt := 1 2 3 4 5;

set T := 0 1;

param T_max := 1;
set W := 0 1;


param C :=
1 2 
2 2 
3 2 
4 2 
5 2 
;
# set of all paths
set PhiSetAll := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40;

set PhiSet[1,2] := 1 2;
set PhiSet[2,1] := 3 4;
set PhiSet[1,5] := 5 6;
set PhiSet[5,1] := 7 8;
set PhiSet[1,3] := 9 10;
set PhiSet[3,1] := 11 12;
set PhiSet[1,4] := 13 14;
set PhiSet[4,1] := 15 16;
set PhiSet[2,5] := 17 18;
set PhiSet[5,2] := 19 20;
set PhiSet[2,3] := 21 22;
set PhiSet[3,2] := 23 24;
set PhiSet[2,4] := 25 26;
set PhiSet[4,2] := 27 28;
set PhiSet[5,3] := 29 30;
set PhiSet[3,5] := 31 32;
set PhiSet[5,4] := 33 34;
set PhiSet[4,5] := 35 36;
set PhiSet[3,4] := 37 38;
set PhiSet[4,3] := 39 40;

param delta :=
1 1 2 1 
2 1 5 1 
2 5 4 1 
2 4 3 1 
2 3 2 1 
3 2 1 1 
4 2 3 1 
4 3 4 1 
4 4 5 1 
4 5 1 1 
5 1 5 1 
6 1 2 1 
6 2 3 1 
6 3 4 1 
6 4 5 1 
7 5 1 1 
8 5 4 1 
8 4 3 1 
8 3 2 1 
8 2 1 1 
9 1 2 1 
9 2 3 1 
10 1 5 1 
10 5 4 1 
10 4 3 1 
11 3 2 1 
11 2 1 1 
12 3 4 1 
12 4 5 1 
12 5 1 1 
13 1 5 1 
13 5 4 1 
14 1 2 1 
14 2 3 1 
14 3 4 1 
15 4 5 1 
15 5 1 1 
16 4 3 1 
16 3 2 1 
16 2 1 1 
17 2 1 1 
17 1 5 1 
18 2 3 1 
18 3 4 1 
18 4 5 1 
19 5 1 1 
19 1 2 1 
20 5 4 1 
20 4 3 1 
20 3 2 1 
21 2 3 1 
22 2 1 1 
22 1 5 1 
22 5 4 1 
22 4 3 1 
23 3 2 1 
24 3 4 1 
24 4 5 1 
24 5 1 1 
24 1 2 1 
25 2 3 1 
25 3 4 1 
26 2 1 1 
26 1 5 1 
26 5 4 1 
27 4 3 1 
27 3 2 1 
28 4 5 1 
28 5 1 1 
28 1 2 1 
29 5 4 1 
29 4 3 1 
30 5 1 1 
30 1 2 1 
30 2 3 1 
31 3 4 1 
31 4 5 1 
32 3 2 1 
32 2 1 1 
32 1 5 1 
33 5 4 1 
34 5 1 1 
34 1 2 1 
34 2 3 1 
34 3 4 1 
35 4 5 1 
36 4 3 1 
36 3 2 1 
36 2 1 1 
36 1 5 1 
37 3 4 1 
38 3 2 1 
38 2 1 1 
38 1 5 1 
38 5 4 1 
39 4 3 1 
40 4 5 1 
40 5 1 1 
40 1 2 1 
40 2 3 1 
;

param h :=
1 23.0 
2 9.195523623 
3 23.0 
4 9.195523623 
5 23.0 
6 9.195523623 
7 23.0 
8 9.195523623 
9 20.493 
10 10.320453 
11 20.493 
12 10.320453 
13 20.493 
14 10.320453 
15 20.493 
16 10.320453 
17 20.493 
18 10.320453 
19 20.493 
20 10.320453 
21 23.0 
22 9.195523623 
23 23.0 
24 9.195523623 
25 20.493 
26 10.320453 
27 20.493 
28 10.320453 
29 20.493 
30 10.320453 
31 20.493 
32 10.320453 
33 23.0 
34 9.195523623 
35 23.0 
36 9.195523623 
37 23.0 
38 9.195523623 
39 23.0 
40 9.195523623 
;
# Traffic demand of each request
param Q0 :=
1 2 3
1 3 0
1 4 0
1 5 3
2 3 3
2 4 0
2 5 0
3 4 3
3 5 0
4 5 3
;

# Traffic demand of each request
param Qm :=
1 2 50
1 3 50
1 4 50
1 5 50
2 3 50
2 4 50
2 5 50
3 4 50
3 5 50
4 5 50
;

